id;qrraws;state
146;t=20231011T1347&s=392.12&fn=7282440500188699&i=27199&fp=1164468441&n=1;1
147;t=20230922T2222&s=604.88&fn=7282440500188527&i=12248&fp=3651959427&n=1;1
148;t=20231016T1612&s=94.66&fn=7282440500188699&i=29319&fp=149500934&n=1;1
149;t=20231017T1508&s=353.00&fn=7281440701285125&i=514&fp=4220422023&n=1;1
150;t=20231017T1456&s=120.74&fn=7282440500188699&i=29816&fp=663363410&n=1;1
151;t=20231018T0959&s=266.89&fn=7282440500188699&i=30216&fp=2885442220&n=1;1
152;t=20231020T1045&s=236.86&fn=7282440500188723&i=22724&fp=869241835&n=1;1
153;t=20230812T0019&s=262.27&fn=7282440500188527&i=524&fp=2226937683&n=1;1
154;t=20231022T1528&s=628.39&fn=7282440500188699&i=32611&fp=1876920760&n=1;1
155;t=20231024T2000&s=1614.99&fn=7282440500188723&i=24298&fp=672688132&n=1;1
156;t=20231024T2211&s=118.99&fn=7282440500188723&i=24382&fp=3897473878&n=1;1
157;t=20231025T2034&s=300.96&fn=7282440500188723&i=24658&fp=165971647&n=1;1
158;t=20230818T2129&s=450.87&fn=7282440500188699&i=2884&fp=2588442178&n=1;1
159;t=20231031T2120&s=127.67&fn=7282440500188699&i=38083&fp=1873365437&n=1;1
160;t=20231031T2121&s=164.87&fn=7282440500188699&i=38084&fp=182021190&n=1;1
161;t=20231101T2104&s=357.77&fn=7281440500455876&i=5493&fp=2159427879&n=1;1
162;t=20231103T2002&s=492.29&fn=7282440500188723&i=27685&fp=1751739808&n=1;1
163;t=20231103T2012&s=784.23&fn=7281440501186942&i=1718&fp=3563834941&n=1;1
164;t=20230818T211300&s=780.25&fn=9960440502952608&i=188593&fp=1685031235&n=1;1
165;t=20231103T2106&s=285.89&fn=7282440500167073&i=20558&fp=1986065735&n=1;1
166;t=20231103T2107&s=51.99&fn=7282440500167073&i=20559&fp=3778578652&n=1;1
167;t=20231103T2106&s=233.98&fn=7282440500167073&i=20557&fp=3004964908&n=1;1
168;t=20231016T1603&s=183.66&fn=7281440500550598&i=61656&fp=1862780188&n=1;1
169;t=20231111T1959&s=522.43&fn=7282440500188527&i=23483&fp=3838215320&n=1;1
170;t=20231117T1906&s=903.20&fn=7282440500188723&i=32484&fp=2655397359&n=1;1
171;t=20231117T1857&s=834.64&fn=7281440500860603&i=21137&fp=1335180235&n=1;1
172;t=20230919T1402&s=456.80&fn=7282440500188699&i=17109&fp=1745323480&n=1;1
173;t=20230916T0003&s=267.97&fn=7282440500188699&i=15546&fp=1858806454&n=1;1
174;t=20230914T1359&s=530.37&fn=7282440500188527&i=9648&fp=244622360&n=1;1
175;t=20230913T1615&s=1012.89&fn=7282440500188723&i=10693&fp=2692720918&n=1;1
176;t=20230919T2156&s=370.75&fn=9960440503114754&i=97531&fp=2839673921&n=1;1
177;t=20230902T0007&s=229.95&fn=7282440500188527&i=6188&fp=682755598&n=1;1
178;t=20230903T1517&s=263.33&fn=7282440500188699&i=9970&fp=3143797877&n=1;1
179;t=20230922T2227&s=877.98&fn=7281440500445815&i=24879&fp=3296531245&n=1;1
180;t=20230921T2059&s=1065.82&fn=7282440500188527&i=11946&fp=2865070874&n=1;1
181;t=20230904T0729&s=41.19&fn=7282440500188699&i=10253&fp=3193673003&n=1;1
182;t=20230907T2123&s=1292.83&fn=7282440500188723&i=8858&fp=2360169294&n=1;1
183;t=20230908T1056&s=434.95&fn=9960440301498862&i=60016&fp=2395465785&n=1;1
184;t=20230907T1037&s=249.99&fn=7281440500314114&i=48463&fp=2466896020&n=1;1
185;t=20230910T1522&s=499.21&fn=7282440500188527&i=8516&fp=2722666895&n=1;1
186;t=20230904T2131&s=341.01&fn=7282440500188699&i=10663&fp=171078935&n=1;1
187;t=20230819T1813&s=291.44&fn=9960440301500467&i=36937&fp=2987047320&n=1;1
188;t=20230820T2033&s=579.96&fn=7282440500188527&i=2914&fp=3055161419&n=1;1
189;t=20230819T2356&s=130.41&fn=7282440500188527&i=2788&fp=1008856817&n=1;1
190;t=20230822T2014&s=272.66&fn=7282440500188723&i=3749&fp=1022699282&n=1;1
191;t=20230819T2341&s=104.54&fn=7282440500188527&i=2778&fp=2364207205&n=1;1
192;t=20230819T1854&s=260.20&fn=9960440301939456&i=61542&fp=4088323267&n=1;1
193;t=20230822T2136&s=79.99&fn=7282440500188527&i=3503&fp=2054273134&n=1;1
194;t=20231223T1229&s=1338.90&fn=7281440501205730&i=12133&fp=3619759485&n=1;1
195;t=20231230T1236&s=786.00&fn=7281440500700968&i=33267&fp=1352080848&n=1;1
196;t=20231226T1506&s=1553.64&fn=7281440501205730&i=12737&fp=12293041&n=1;1
197;t=20231109T2117&s=264.79&fn=7282440500188723&i=29666&fp=2404704639&n=1;1
198;t=20231228T2109&s=65.00&fn=7281440500700968&i=33034&fp=865828555&n=1;1
199;t=20231108T2116&s=421.50&fn=7282440500188699&i=42696&fp=3077049960&n=1;1
200;t=20231229T2336&s=1769.47&fn=7282440500188699&i=62063&fp=2563511382&n=1;1
201;t=20231219T2016&s=71.97&fn=7282440500188527&i=36828&fp=3022747193&n=1;1
202;t=20230830T2139&s=540.00&fn=9960440502964716&i=32982&fp=1326472720&n=1;1
203;t=20230818T1948&s=426.00&fn=9960440503098708&i=122109&fp=1469902219&n=1;1
204;t=20231106T1400&s=172.14&fn=7282440500188723&i=28511&fp=2628116591&n=1;1
205;t=20230901T1934&s=1090.01&fn=7281440500860888&i=0000005962&fp=2255409976&n=1;1
206;t=20230929T1529&s=440.25&fn=9961440300305579&i=77492&fp=2937006260&n=1;1
207;t=20230818T2305&s=2127.49&fn=7282440500188527&i=2563&fp=2059505833&n=1;1
208;t=20231020T1045&s=2284.10&fn=7281440501205730&i=2295&fp=1778897418&n=1;1
209;t=20231126T2059&s=99.99&fn=7282440500188723&i=35874&fp=1531029532&n=1;1
210;t=20230818T2055&s=917.26&fn=9961440300305579&i=72025&fp=1648876928&n=1;1
211;t=20231105T1642&s=1536.47&fn=7282440500188699&i=40816&fp=0932675707&n=1;1
212;t=20230925T1437&s=1096.13&fn=9961440300305579&i=76962&fp=4209471810&n=1;1
213;t=20230925T1438&s=127.60&fn=9961440300305579&i=76963&fp=3853168461&n=1;1
214;t=20230921T2032&s=2582.91&fn=9961440300305579&i=76467&fp=453669564&n=1;1
215;t=20230819T1754&s=2735.02&fn=9961440300305579&i=72101&fp=1047995089&n=1;1
216;t=20230930T1155&s=1016.90&fn=9961440300305579&i=77586&fp=49872998&n=1;1
217;t=20231122T2121&s=132.95&fn=7282440500188295&i=39280&fp=1155812438&n=1;1
218;t=20231108T2117&s=421.50&fn=7282440500188699&i=42696&fp=3077049960&n=1;1
219;t=20231029T1838&s=909.09&fn=7281440501305730&i=3739&fp=2449765930&n=1;3
220;t=20240118T1612&s=345.30&fn=7282440500188699&i=68595&fp=3601964778&n=1;1
221;t=20240117T2120&s=120.62&fn=7282440500188723&i=58167&fp=3457433757&n=1;1
